course,category,n,text_only_exact_match,text_only_token_f1,zero_shot_vlm_exact_match,zero_shot_vlm_token_f1
cs288,text_only,15,0.0000,0.2089,0.0667,0.4726
cs288,image_diagram,60,0.0167,0.1309,0.0167,0.3241
cs288,table,28,0.0000,0.1330,0.0000,0.4157
cs288,chart_graph,21,0.0000,0.1136,0.0000,0.4060
cs288,layout_aware,26,0.0000,0.1652,0.0000,0.3795
cs288,OVERALL,150,0.0067,0.1426,0.0133,0.3771
cs601,text_only,15,0.0667,0.2758,0.0667,0.3957
cs601,image_diagram,59,0.0169,0.1472,0.0169,0.3065
cs601,table,27,0.0741,0.2384,0.0370,0.3789
cs601,chart_graph,16,0.0000,0.1347,0.0000,0.4116
cs601,layout_aware,33,0.0000,0.1984,0.0909,0.4558
cs601,OVERALL,150,0.0267,0.1864,0.0400,0.3725
cs224n,text_only,15,0.0667,0.2824,0.0667,0.5277
cs224n,image_diagram,57,0.0000,0.0623,0.0351,0.3931
cs224n,table,27,0.0000,0.1230,0.0370,0.3645
cs224n,chart_graph,28,0.0000,0.0871,0.0714,0.3822
cs224n,layout_aware,23,0.0000,0.0636,0.0435,0.3581
cs224n,OVERALL,150,0.0067,0.1001,0.0467,0.3940
