course,category,n,text_only_exact_match,text_only_token_f1,text_only_llm_judge,zero_shot_vlm_exact_match,zero_shot_vlm_token_f1,zero_shot_vlm_llm_judge,closed_book_exact_match,closed_book_token_f1,closed_book_llm_judge,colpali_rag_exact_match,colpali_rag_token_f1,colpali_rag_llm_judge
cs288,text_only,15,0.0000,0.2089,2.2000,0.0667,0.4726,4.7333,0.0000,0.1463,2.1333,0.0000,0.3192,3.4667
cs288,image_diagram,60,0.0167,0.1309,1.7833,0.0167,0.3241,4.6833,0.0000,0.0773,2.2167,0.0167,0.2324,3.4000
cs288,table,28,0.0000,0.1330,1.8929,0.0000,0.4157,4.7143,0.0000,0.0889,1.8929,0.0714,0.3785,4.2500
cs288,chart_graph,21,0.0000,0.1136,1.2857,0.0000,0.4060,4.7619,0.0000,0.0899,1.9048,0.0000,0.2946,4.0476
cs288,layout_aware,26,0.0000,0.1652,1.8846,0.0000,0.3795,4.6538,0.0000,0.0790,2.1154,0.0000,0.3207,3.8462
cs288,OVERALL,150,0.0067,0.1426,1.7933,0.0133,0.3771,4.7000,0.0000,0.0884,2.0867,0.0200,0.2924,3.7333
cs601,text_only,15,0.0667,0.2758,2.6000,0.0667,0.3957,4.9333,0.0000,0.1249,2.4667,0.0000,0.3287,4.2667
cs601,image_diagram,59,0.0169,0.1472,2.1864,0.0169,0.3065,4.4068,0.0000,0.0723,1.9492,0.0169,0.2357,3.1186
cs601,table,27,0.0741,0.2384,2.1111,0.0370,0.3789,4.1481,0.0000,0.0507,1.6296,0.0370,0.2976,3.1111
cs601,chart_graph,16,0.0000,0.1347,1.3125,0.0000,0.4116,4.4375,0.0000,0.1061,1.9375,0.0000,0.3526,3.8125
cs601,layout_aware,33,0.0000,0.1984,2.1515,0.0909,0.4558,4.4242,0.0000,0.1280,2.3636,0.0606,0.3601,3.5152
cs601,OVERALL,150,0.0267,0.1864,2.1133,0.0400,0.3725,4.4200,0.0000,0.0895,2.0333,0.0267,0.2960,3.3933
cs224n,text_only,15,0.0667,0.2824,2.6000,0.0667,0.5277,4.3333,0.0667,0.1779,2.2667,0.0000,0.4208,3.8000
cs224n,image_diagram,57,0.0000,0.0623,1.4737,0.0351,0.3931,4.7193,0.0000,0.0771,2.0175,0.0351,0.2955,3.7018
cs224n,table,27,0.0000,0.1230,1.5556,0.0370,0.3645,4.7778,0.0000,0.0474,1.3333,0.0370,0.3033,3.8519
cs224n,chart_graph,28,0.0000,0.0871,1.0714,0.0714,0.3822,4.5714,0.0000,0.0663,1.6786,0.0714,0.3326,4.0000
cs224n,layout_aware,23,0.0000,0.0636,1.5217,0.0435,0.3581,4.3043,0.0000,0.0613,1.6957,0.0435,0.2928,3.3913
cs224n,OVERALL,150,0.0067,0.1001,1.5333,0.0467,0.3940,4.6000,0.0067,0.0774,1.8067,0.0400,0.3159,3.7467
